name,address,postcode,latitude,longitude
Sadler's Cat,"40 Hanover Street, Manchester",M4 4AH,53.486822,-2.240101
Sammy's,"26 Swan Street, Manchester",M4 5JQ,53.485433,-2.233769
Sawyers Arms,"Sawyers Arms, 138 Deansgate, Manchester",M3 2RP,53.480748,-2.248375
Schofield's Bar,"Sunlight House, 3 Little Quay Street, Manchester",M3 3JZ,53.478829,-2.250489
Sinclairs Oyster Bar,"Sinclairs Oyster Bar, 2 Cathedral Gates, Manchester",M3 1SW,53.484684,-2.244091
Slug and Lettuce,"Slug And Lettuce, 62-66 Deansgate, Manchester",M3 2EN,53.482944,-2.246869
Spirit of Manchester Distillery,"Arch 10-15, Watson Street, Manchester",M3 4LP,\N,\N
Tank & Paddle,"Unit 10 The Printworks, Withy Grove, Manchester",M4 2BS,53.485187,-2.240763
Terrace,"43 Thomas Street, Manchester",M4 1NA,53.484108,-2.236523
The Abel Heywood,"34-38 Turner Street, Manchester",M4 1DZ,53.483565,-2.237376
The Alchemist,"3 Hardman Street, Manchester",M3 3HF,53.479871,-2.250798
The Angel,"The Angel Inn, 6 Angel Street, Manchester",M4 4BR,53.487165,-2.235226
The Bay Horse,"35-37 Thomas Street, Manchester",M4 1NA,53.484285,-2.236777
The Beerhouse,"Victoria Station, Long Millgate, Manchester",M3 1NX,53.486362,-2.241734
The Blues Kitchen,"13 Quay Street, Manchester",M3 3HN,53.478478,-2.251122
The Botanist,"78 Deansgate, Manchester",M3 2FW,53.482818,-2.247154
The Box,"Unit 2, 125 Deansgate, Manchester",M3 2BY,53.480237,-2.248002
The City,"133 Oldham Street, Manchester",M4 1LN,53.484284,-2.233585
The Deansgate,"321 Deansgate, Manchester",M3 4LQ,53.475071,-2.251222
The Freemount,"73-75 Oldham Street, Manchester",M4 1LW,53.483626,-2.234621
The Jane Eyre Neighbourhood Bar,"1 Cutting Room Square, 14 Hood Street, Manchester",M4 6WX,53.48415,-2.228714
The Lost Dene,"144 Deansgate, Manchester",M3 3EE,53.480585,-2.24854
The Manchester Bierkeller,"Unit 12 The Printworks, Withy Grove, Manchester",M4 2BS,53.485187,-2.240763
The Manchester Lounge,"29 Withy Grove, Manchester",M4 2BJ,53.484638,-2.240699
The Moon Under Water,"The Moon Under Water, 68-74 Deansgate, Manchester",M3 2FN,53.482899,-2.247018
The Seven Stars,"The Printworks, Withy Grove, Manchester",M4 2BS,53.485188,-2.240763
The Smithfield Social,"53-55 Thomas Street, Manchester",M4 1NA,53.484107,-2.236522
The Wash House,"Ground Floor, 19 Shudehill, Manchester",M4 2AF,53.484775,-2.2396
The Wheatsheaf,"The Wheatsheaf, 30 Oak Street, Manchester",M4 5JE,53.484469,-2.234759
The White Lion,"43 Liverpool Road, Manchester",M3 4NQ,53.476012,-2.252885
Tib Street Tavern,"74 Tib Street, Manchester",M4 1LG,53.483734,-2.234637
Trof Cafe,"6-8 Thomas Street, Manchester",M4 1EX,53.484879,-2.238139
Victoria Tap,"2 Todd Street, Manchester",M3 1WY,53.485918,-2.241649
vivID lounge,"Unit 6, 149a Great Ancoats Street, Manchester",M4 6DN,53.480421,-2.223347
Walkabout,"Unit 18 The Printworks, Withy Grove, Manchester",M4 2BS,53.485187,-2.240763
Wayfarer,"1-3 Swan Street, Manchester",M4 5JJ,53.484634,-2.233102
Wiltons Social,"42-44 Oldham Street, Manchester",M4 1LE,53.483402,-2.234017
